,toi,toipfx,pl_pnum,system,eccentric?,eccentricity,# stars,cb_flag,ttv_flag,size_sys
1,1807.01,1807,1,TOI-1807,False,None,1,0,0,1
4,1444.01,1444,1,TOI-1444,False,0.0,1,0,0,2
7,2260.01,2260,1,TOI-2260,False,None,1,0,0,1
12,237.01,237,1,TOI-237,False,0.0,1,0,0,1
14,2411.01,2411,2,TOI-2411,False,None,1,0,0,1
16,1695.01,1695,1,TOI-1695,False,0.097,1,0,0,1
17,712.04,712,4,TOI-712,False,0.089,1,0,0,3
20,1075.01,1075,1,TOI-1075,False,0.0,1,0,0,1
21,1235.01,1235,1,TOI-1235,False,0.049,1,0,0,1
25,1685.01,1685,1,TOI-1685,False,0.0,1,0,0,1
28,733.01,733,1,TOI-733,False,0.046,1,0,0,1
29,2081.01,2081,1,TOI-2081,False,None,1,0,0,1
32,1749.01,1749,1,TOI-1749,False,0.062,1,0,0,3
33,2427.01,2427,1,TOI-2427,False,None,1,0,0,1
0,178.04,178,4,TOI-178,False,None,1,0,0,6
